Flag,FlagCountry,Name,Draft,Beam,Length,Type,Origin,Destination,EstimatedDayArrival,ShippingCompany
LT,Lituània,ARAMIS,3.79,11.39,86.9,Càrrega (Lo-Lo),Lyon,Fos-sur-Mer,3,TRANSITAINER SA
BS,Bahames,WIND STAR,4.11,15.8,134,Passatge,Tarragona,Palma de Mallorca,110,BALEARES CONSIGNATARIOS SL
BS,Bahames,WIND SURF,5.01,20,187,Passatge,Palamos,Palma de Mallorca,212,BALEARES CONSIGNATARIOS SL
MT,Malta,AZAMARA PURSUIT,5.95,25.46,181,Passatge,Marseille,Toulon,146,BALEARES CONSIGNATARIOS SL
MT,Malta,AZAMARA JOURNEY,5.95,25.46,181,Passatge,Monaco,Port-Vendres,211,BALEARES CONSIGNATARIOS SL
DK,Dinamarca,TORM CORRIDO,12.22,32.19,183,Tancs,Brindisi,Cartagena,9,IBERICA MARITIMA BARCELONA SA
LR,Libèria,ZUMRUT ANA,4.6,16.6,140,Tancs,Balchik,Rostov-na-Donu                     ,2,ALFASHIP MARITIME SERVICES SL 
MT,Malta,ATLANTIS AUGUSTA,6.29,16.8,105.5,Tancs,Monopoli,Monopoli,9,NEXT MARITIME SL
PA,Panamà,MRC HATICE ANA,6.58,15.8,107,Tancs,Oran,Cartagena,5,ALFASHIP MARITIME SERVICES SL 
LR,Libèria,UBC CHILE,7.8,22.5,132,Granelers,Immingham,Boston,5,COMA Y RIBAS SL
MH,Illes Marshall,SIRIUS HIGHWAY,10.23,38,199.96,Car-carrier,Davisville,Bremerhaven,4,BERGE MARITIMA SL
CY,Xipre,ANDROMEDA J,7.36,22.2,140,Portacontenidors,Koper,Taicang Pt,2,BERGE MARITIMA SL
CY,Xipre,NAPOLES,6.53,25.6,186,Transbordadors,Ibiza,Ibiza,3,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,SICILIA,6.53,25.6,186.25,Transbordadors,Palma de Mallorca,Palma de Mallorca,3,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,NAPOLES,6.53,25.6,186.25,Transbordadors,Ibiza,Ibiza,4,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,NAPOLES,6.53,25.6,186,Transbordadors,Ibiza,Ibiza,5,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,SICILIA,6.53,25.6,186.25,Transbordadors,Palma de Mallorca,Palma de Mallorca,5,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,NAPOLES,6.53,25.6,186,Transbordadors,Ibiza,Ibiza,7,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,SICILIA,6.53,25.6,186.25,Transbordadors,Palma de Mallorca,Palma de Mallorca,7,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,NAPOLES,6.53,25.6,186,Transbordadors,Ibiza,Ibiza,8,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,NAPOLES,6.53,25.6,186.25,Transbordadors,Ibiza,Ibiza,10,BALEARIA EUROLINEAS MARITIMAS SA 
CY,Xipre,NAPOLES,6.53,25.6,186,Transbordadors,Ibiza,Ibiza,11,BALEARIA EUROLINEAS MARITIMAS SA 
DZ,Algèria,DJANET,9.5,24.29,172,Portacontenidors,Marseille,Valencia,4,TRANSPORTES CONSIGNACION MARITIMAS SA
IT,Itàlia,JOLLY PALLADIO,11.5,37.5,240,Ro-Ro,Castellon de la Plana,Marseille,22,BERGE MARITIMA SL
TR,Turquia,AKHISAR,7.5,18.4,118.4,Portacontenidors,Alger (Algiers),Castellon de la Plana,10,BERGE MARITIMA SL
IT,Itàlia,LEALE,7.38,16.8,112.4,Tancs,Bastia,Port-la-Nouvelle,8,ALFASHIP MARITIME SERVICES SL 
MH,Illes Marshall,SIRIUS HIGHWAY,10.23,38,199.96,Car-carrier,Davisville,Bremerhaven,4,BERGE MARITIMA SL
MH,Illes Marshall,EMERALD ACE,9.73,32.26,200,Car-carrier,Singapore,Anvers,6,TRANSPORTES CONSIGNACION MARITIMAS SA
AG,Antigua i Barbuda,KRETA S,7.7,22.7,149,Portacontenidors,Marseille,Oran,1,CMA CGM IBERICA SAU
AG,Antigua i Barbuda,JSP BORA,8.51,23.25,148,Portacontenidors,Valencia,Skikda (ex Philippeville),3,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
CY,Xipre,MAREN,8.51,23.25,148,Portacontenidors,Tanger Med,Alger (Algiers),5,MARITIMA DEL MEDITERRANEO SA
FR,França,MARFRET GUYANE,9.36,27.2,170,Portacontenidors,Marseille,Tanger Med,26,CMA CGM IBERICA SAU
FR,França,CMA CGM KIMBERLEY,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,32,CMA CGM IBERICA SAU
FR,França,CMA CGM PATAGONIA,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,53,CMA CGM IBERICA SAU
HK,Hong Kong,OOCL FRANCE,15.53,48.2,366.47,Portacontenidors,Valencia,Fos-sur-Mer,5,ORIENT OVERSEAS CONTAINER LINE SPAIN SL
HK,Hong Kong,MAERSK KINGSTON,14.02,40,304,Portacontenidors,La Spezia,Valencia,6,MARITIMA DEL MEDITERRANEO SA
LR,Libèria,AVRA MITERAS,9.32,23.5,157,Portacontenidors,Alger (Algiers),Valencia,1,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC ALTAMIRA,14.52,48.2,299,Portacontenidors,Algeciras,Gioia Tauro,3,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,TENO,13.5,45.6,300,Portacontenidors,Las Palmas,Genoa,2,HAPAG LLOYD SPAIN SL
LR,Libèria,MSC DORINE,13.52,32.2,294.05,Portacontenidors,Valencia,Gebze,4,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC CAPUCINE R,11.5,32.2,243,Portacontenidors,Malaga,Gioia Tauro,4,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,MSC SIGMA F,8.51,23.25,148,Portacontenidors,Fos-sur-Mer,Alger (Algiers),5,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,GENOVA,13.52,32.26,294,Portacontenidors,Fos-sur-Mer,Valencia,5,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LR,Libèria,CONTSHIP MAX,8.8,22.6,139,Portacontenidors,Annaba (ex Bone),Fos-sur-Mer,6,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
LT,Lituània,KANTATA,8.51,23.25,147.84,Portacontenidors,Valencia,Oran,5,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MH,Illes Marshall,MORAGA,9.2,25.6,158.75,Portacontenidors,Marseille,Alger (Algiers),3,CMA CGM IBERICA SAU
MH,Illes Marshall,OLIVIA I,14.55,42.8,271,Portacontenidors,Genoa,Valencia,5,CMA CGM IBERICA SAU
MH,Illes Marshall,MARY,14.5,42.8,270,Portacontenidors,Genoa,Valencia,19,CMA CGM IBERICA SAU
MH,Illes Marshall,SEAMAX DARIEN,15.03,42.8,322.97,Portacontenidors,Algeciras,Gioia Tauro,21,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,CMA CGM TENERE,16,51,366,Portacontenidors,Fos-sur-Mer,Marsaxlokk,20,CMA CGM IBERICA SAU
MT,Malta,CMA CGM UNITY,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,37,CMA CGM IBERICA SAU
MT,Malta,CMA CGM IGUACU,16,51,366,Portacontenidors,Valencia,Fos-sur-Mer,39,CMA CGM IBERICA SAU
PA,Panamà,MSC GULSUN,16.5,61.51,400,Portacontenidors,Tekirdag,Valencia,9,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
PT,Portugal,JONA SOPHIE,9.19,23.9,139,Portacontenidors,Sagunto,Tuzla,4,SOLUCIONES INTEGRALES MARITIMAS SLU
PT,Portugal,PAULINE RUSS,6.99,20.6,153,Ro-Ro,Marseille,Casablanca,6,CMA CGM IBERICA SAU
PT,Portugal,MACAO,10.7,27.6,179.69,Portacontenidors,Algeciras,Fos-sur-Mer,7,MARITIMA DEL MEDITERRANEO SA
PT,Portugal,WEC MONDRIAAN,8.71,22.5,134.44,Portacontenidors,Tarragona,Las Palmas,7,WEC LINES ESPAÑA SLU
PT,Portugal,MSC DOMITILLE,14.5,48.2,299.82,Portacontenidors,Valencia,Livorno,8,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
PT,Portugal,ANNE,8.8,22.6,139,Portacontenidors,Marseille,Valencia,9,CMA CGM IBERICA SAU
PT,Portugal,BARBARA P,9.19,23.9,139,Portacontenidors,Sagunto,Sagunto,12,SOLUCIONES INTEGRALES MARITIMAS SLU
PT,Portugal,BARBARA P,9.19,23.9,139,Portacontenidors,Sagunto,Sagunto,14,SOLUCIONES INTEGRALES MARITIMAS SLU
PT,Portugal,MSC BRUNELLA,14.5,48.2,300,Portacontenidors,Valencia,Genoa,15,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
IT,Itàlia,DOMENICO IEVOLI,8.22,19,118,Tancs,Bilbao,Valencia,2,ALFASHIP MARITIME SERVICES SL 
IT,Itàlia,LEALE,7.38,16.8,112.4,Tancs,Bastia,Port-la-Nouvelle,5,ALFASHIP MARITIME SERVICES SL 
MH,Illes Marshall,CL ZHAOGE,13.31,32.2,183,Tancs,Algeciras,Fos-sur-Mer,4,A PEREZ Y CIA SL
BM,Bermuda,KOBE EXPRESS,13.63,32.25,294,Portacontenidors,Genoa,Valencia,2,HAPAG LLOYD SPAIN SL
DE,Alemanya,BERLIN EXPRESS,14.5,42.8,321,Portacontenidors,Valencia,Fos-sur-Mer,4,HAPAG LLOYD SPAIN SL
DK,Dinamarca,MAERSK NEWPORT,11.4,29.8,211,Portacontenidors,Castellon de la Plana,Piraeus,26,MARITIMA DEL MEDITERRANEO SA
DK,Dinamarca,MAERSK NEWPORT,11.4,29.8,211,Portacontenidors,Castellon de la Plana,Piraeus,34,MARITIMA DEL MEDITERRANEO SA
GB,Regne Unit,ZEAL LUMOS,16,51,366,Portacontenidors,Fos-sur-Mer,Piraeus,18,OCEAN NETWORK EXPRESS SPAIN SA
HK,Hong Kong,SAFMARINE NILE,11.4,29.8,211,Portacontenidors,Valencia,El Iskandariya (= Alexandria),6,MARITIMA DEL MEDITERRANEO SA
HK,Hong Kong,ALTAMIRA EXPRESS,13.65,32.2,294.13,Portacontenidors,Singapore,Valencia,8,HAPAG LLOYD SPAIN SL
LR,Libèria,AS ANITA,11.35,27.6,189,Portacontenidors,Lisboa,Piraeus,3,COSCO SHIPPING LINES SPAIN SA
LR,Libèria,ZIM SHEKOU,12.6,32.24,260.01,Portacontenidors,Genoa,Valencia,6,A PEREZ Y CIA SL
LR,Libèria,ODYSSEUS,12,30,222.14,Portacontenidors,Casablanca,Piraeus,6,HAPAG LLOYD SPAIN SL
MH,Illes Marshall,LINAH,15.52,51,369,Portacontenidors,Fos-sur-Mer,Piraeus,3,HAPAG LLOYD SPAIN SL
MH,Illes Marshall,RACHEL BORCHARD,9.2,25.6,159,Portacontenidors,Marseille,Castellon de la Plana,5,MARITIMA DEL MEDITERRANEO SA
MH,Illes Marshall,AL MURABBA,15.52,51,369,Portacontenidors,Fos-sur-Mer,Piraeus,9,HAPAG LLOYD SPAIN SL
MH,Illes Marshall,BALTIC BRIDGE,14.5,42.8,300.07,Portacontenidors,Valencia,Fos-sur-Mer,10,CMA CGM IBERICA SAU
MT,Malta,CINZIA A,11.55,29.8,200,Portacontenidors,Castellon de la Plana,Piraeus,1,ARKAS SPAIN SA
MT,Malta,JOSITA B,9.5,28.1,170,Portacontenidors,Fos-sur-Mer,Casablanca,9,MARITIMA DEL MEDITERRANEO SA
MT,Malta,X-PRESS VESUVIO,7.35,19.4,133.6,Portacontenidors,Casablanca,Valencia,15,A PEREZ Y CIA SL
MT,Malta,X-PRESS MONTE CERVINO,7.35,19.4,133.6,Portacontenidors,Valencia,Algeciras,27,A PEREZ Y CIA SL
PT,Portugal,VERONICA B,7.34,21.8,141,Portacontenidors,Cadiz,Cadiz,5,BOLUDA LINES SA
PT,Portugal,NORDIC ISTRIA,8.6,23.5,158,Portacontenidors,Valencia,Marseille,6,MARITIMA DEL MEDITERRANEO SA
PT,Portugal,VERONICA B,7.34,21.8,141,Portacontenidors,Cadiz,Cadiz,7,BOLUDA LINES SA
PT,Portugal,HERTA,14.02,40,275,Portacontenidors,Genoa,Cartagena,10,HAPAG LLOYD SPAIN SL
SG,Singapur,ONE MANCHESTER,15.52,51.2,366,Portacontenidors,Damietta,Valencia,5,OCEAN NETWORK EXPRESS SPAIN SA
TR,Turquia,VIVIEN A,11.4,29.8,210.45,Portacontenidors,Casablanca,Yarimca,28,ARKAS SPAIN SA
DK,Dinamarca,ALICE THERESA,7.6,19.05,101,Tancs,Achladi,Desconegut,4,ALFASHIP MARITIME SERVICES SL 
DK,Dinamarca,SCANDIC,8.35,19.6,130,Tancs,Motril,Tarragona,6,ITALMAR 3000 SL
DK,Dinamarca,TORM CORRIDO,12.22,32.19,183,Tancs,Brindisi,Cartagena,13,IBERICA MARITIMA BARCELONA SA
DK,Dinamarca,TORM CORRIDO,12.22,32.19,183,Tancs,Brindisi,Cartagena,24,IBERICA MARITIMA BARCELONA SA
MT,Malta,NORTHSEA ALPHA,7.81,18.6,110,Tancs,Barcelona,Fos-sur-Mer,4,ALFASHIP MARITIME SERVICES SL 
MT,Malta,ANDREA D,7.77,18.2,115,Tancs,Eastham,Lavera,5,IBERICA MARITIMA BARCELONA SA
ES,Espanya,MARTIN I SOLER,5.7,25.6,165,Transbordadors,Alcudia,Alcudia,2,BALEARIA EUROLINEAS MARITIMAS SA 
ES,Espanya,MARTIN I SOLER,5.7,25.6,165,Transbordadors,Alcudia,Alcudia,3,BALEARIA EUROLINEAS MARITIMAS SA 
ES,Espanya,MARTIN I SOLER,5.7,25.6,165,Transbordadors,Alcudia,Alcudia,4,BALEARIA EUROLINEAS MARITIMAS SA 
ES,Espanya,MARTIN I SOLER,5.7,25.6,165,Transbordadors,Alcudia,Alcudia,5,BALEARIA EUROLINEAS MARITIMAS SA 
ES,Espanya,MARTIN I SOLER,5.7,25.6,165,Transbordadors,Alcudia,Alcudia,6,BALEARIA EUROLINEAS MARITIMAS SA 
ES,Espanya,MARTIN I SOLER,5.7,25.6,165,Transbordadors,Alcudia,Alcudia,7,BALEARIA EUROLINEAS MARITIMAS SA 
IT,Itàlia,MATTEO BR,9.8,24.8,157,Granelers,El Iskandariya (= Alexandria),Fos-sur-Mer,8,INTRAMEDITERRANEO SA
MT,Malta,AZOV CONFIDENCE,4.77,18,141,Càrrega (Lo-Lo),Eleusis,Sagunto,3,INTRAMEDITERRANEO SA
PA,Panamà,DES,5.5,13.6,81,Càrrega (Lo-Lo),Gemlik,Sagunto,2,INTRAMEDITERRANEO SA
TR,Turquia,SERVET ANA,9.79,28,179,Granelers,Eregli,Savona,11,INTRAMEDITERRANEO SA
ES,Espanya,CIUDAD DE GRANADA,6.2,26.2,172,Transbordadors,Ibiza,Palma de Mallorca,2,GRIMALDI LOGISTICA ESPAÑA SL
ES,Espanya,VOLCAN DEL TEIDE,6.7,26.4,176,Transbordadors,Palma de Mallorca,Alcudia,3,GRIMALDI LOGISTICA ESPAÑA SL
ES,Espanya,CIUDAD DE GRANADA,6.2,26.2,172,Transbordadors,Palma de Mallorca,Palma de Mallorca,3,GRIMALDI LOGISTICA ESPAÑA SL
ES,Espanya,VOLCAN DEL TEIDE,6.7,26.4,176,Transbordadors,Alcudia,Alcudia,4,GRIMALDI LOGISTICA ESPAÑA SL
ES,Espanya,CIUDAD DE GRANADA,6.2,26.2,172,Transbordadors,Ibiza,Ibiza,4,GRIMALDI LOGISTICA ESPAÑA SL
ES,Espanya,VOLCAN DEL TEIDE,6.7,26.4,176,Transbordadors,Alcudia,Alcudia,5,GRIMALDI LOGISTICA ESPAÑA SL
ES,Espanya,CIUDAD DE GRANADA,6.2,26.2,172,Transbordadors,Ibiza,Ibiza,5,GRIMALDI LOGISTICA ESPAÑA SL
ES,Espanya,VOLCAN DEL TEIDE,6.7,26.4,176,Transbordadors,Alcudia,Alcudia,6,GRIMALDI LOGISTICA ESPAÑA SL
ES,Espanya,CIUDAD DE GRANADA,6.2,26.2,172,Transbordadors,Ibiza,Ibiza,6,GRIMALDI LOGISTICA ESPAÑA SL
ES,Espanya,L'AUDACE,6,21,141.25,Ro-Ro,Santa Cruz de Tenerife,Las Palmas,7,VAPORES SUARDIAZ MEDITERRANEO SA
ES,Espanya,CIUDAD DE GRANADA,6.2,26.2,172,Transbordadors,Ibiza,Ibiza,7,GRIMALDI LOGISTICA ESPAÑA SL
ES,Espanya,VOLCAN DEL TEIDE,6.7,26.4,176,Transbordadors,Alcudia,Palma de Mallorca,7,GRIMALDI LOGISTICA ESPAÑA SL
ES,Espanya,BOUZAS,6,21,141,Car-carrier,Tanger Med,Tanger Med,13,VAPORES SUARDIAZ MEDITERRANEO SA
ES,Espanya,BOUZAS,6,21,141,Car-carrier,Tanger Med,Tanger Med,17,VAPORES SUARDIAZ MEDITERRANEO SA
ES,Espanya,BOUZAS,6,21,141,Car-carrier,Tanger Med,Tanger Med,34,VAPORES SUARDIAZ MEDITERRANEO SA
IT,Itàlia,TENACIA,6.4,26.6,199,Transbordadors,Palma de Mallorca,Palma de Mallorca,1,E ERHARDT Y CIA SA
IT,Itàlia,GNV SEALAND,6.79,25.6,186,Transbordadors,Ibiza,Ibiza,1,E ERHARDT Y CIA SA
IT,Itàlia,GNV BRIDGE,6.55,25.6,203,Transbordadors,Palma de Mallorca,Palma de Mallorca,2,E ERHARDT Y CIA SA
IT,Itàlia,TENACIA,6.4,26.6,199,Transbordadors,Palma de Mallorca,Palma de Mallorca,3,E ERHARDT Y CIA SA
IT,Itàlia,GNV SEALAND,6.79,25.6,186,Transbordadors,Ibiza,Ibiza,2,E ERHARDT Y CIA SA
IT,Itàlia,TENACIA,6.4,26.6,199,Transbordadors,Palma de Mallorca,Palma de Mallorca,3,E ERHARDT Y CIA SA
IT,Itàlia,TENACIA,6.4,26.6,199,Transbordadors,Palma de Mallorca,Palma de Mallorca,4,E ERHARDT Y CIA SA
IT,Itàlia,TENACIA,6.4,26.6,199,Transbordadors,Palma de Mallorca,Palma de Mallorca,4,E ERHARDT Y CIA SA
IT,Itàlia,GNV CRISTAL,6.53,29,161,Transbordadors,Tanger Med,Genoa,5,E ERHARDT Y CIA SA
IT,Itàlia,TENACIA,6.4,26.6,199,Transbordadors,Palma de Mallorca,Palma de Mallorca,5,E ERHARDT Y CIA SA
IT,Itàlia,TENACIA,6.4,26.6,199,Transbordadors,Palma de Mallorca,Palma de Mallorca,5,E ERHARDT Y CIA SA
IT,Itàlia,GNV SEALAND,6,25.6,186,Transbordadors,Ibiza,Mahon Menorca,6,E ERHARDT Y CIA SA
IT,Itàlia,GNV SEALAND,6,25.6,186,Transbordadors,Mahon Menorca,Ibiza,7,E ERHARDT Y CIA SA
BM,Bermuda,STENAWECO IMPULSE,12.92,32.26,183,Tancs,Cadiz,Cadiz,1,ALFASHIP MARITIME SERVICES SL 
MH,Illes Marshall,STI BATTERY,13.33,32.2,183.12,Tancs,Milazzo,Taman,2,ITALMAR 3000 SL
MH,Illes Marshall,CL ZHAOGE,13.31,32.2,183,Tancs,Algeciras,Fos-sur-Mer,4,A PEREZ Y CIA SL
MT,Malta,ATLANTIS AUGUSTA,6.29,16.8,105.5,Tancs,Monopoli,Monopoli,4,NEXT MARITIME SL
MT,Malta,ATLANTIS AUGUSTA,6.29,16.8,105.5,Tancs,Monopoli,Monopoli,9,NEXT MARITIME SL
IT,Itàlia,ECO BARCELONA,7.2,34,238,Ro-Ro,Savona,Valencia,2,GRIMALDI LOGISTICA ESPAÑA SL
IT,Itàlia,CRUISE BARCELONA,7,30.4,253.8,Transbordadors,Civitavecchia,Civitavecchia,4,GRIMALDI LOGISTICA ESPAÑA SL
IT,Itàlia,ECO VALENCIA,7.2,34,238,Ro-Ro,Savona,Valencia,5,GRIMALDI LOGISTICA ESPAÑA SL
IT,Itàlia,CRUISE ROMA,7,30.4,253.8,Transbordadors,Civitavecchia,Civitavecchia,5,GRIMALDI LOGISTICA ESPAÑA SL
IT,Itàlia,CRUISE BARCELONA,7,30.4,253.8,Transbordadors,Civitavecchia,Porto Torres,6,GRIMALDI LOGISTICA ESPAÑA SL
IT,Itàlia,ECO VALENCIA,7.2,34,238,Ro-Ro,Savona,Valencia,10,GRIMALDI LOGISTICA ESPAÑA SL
IT,Itàlia,CRUISE BARCELONA,7,30.4,253.8,Transbordadors,Porto Torres,Civitavecchia,9,GRIMALDI LOGISTICA ESPAÑA SL
MT,Malta,BW LILAC,12.52,46.4,295,Tancs,Lake Charles,Cameron,4,MARITIMA DEL MEDITERRANEO SA
GB,Regne Unit,BRITANNIA,8.55,38.4,330,Passatge,Toulon,Cadiz,255,MARITIMA DEL MEDITERRANEO SA
IT,Itàlia,AIDABLU,7.2,32.2,253,Passatge,Valencia,Cagliari,52,A PEREZ Y CIA SL
MT,Malta,MSC GRANDIOSA,8.75,43,331,Passatge,Malta (Valetta),Marseille,1,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
MT,Malta,MARELLA EXPLORER 2,7.82,32.2,246.5,Passatge,Palma de Mallorca,Valencia,3,TUI ESPAÑA TURISMO SL 
MT,Malta,MSC GRANDIOSA,8.75,43,331,Passatge,Palma de Mallorca,Marseille,8,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
PA,Panamà,MSC FANTASIA,8.65,37.92,333.3,Passatge,Palma de Mallorca,Marseille,7,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
PA,Panamà,MSC FANTASIA,8.65,37.92,333.3,Passatge,Palma de Mallorca,Marseille,14,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
PA,Panamà,MSC FANTASIA,8.65,37.92,333.3,Passatge,Palma de Mallorca,Marseille,21,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
PA,Panamà,MSC FANTASIA,8.65,37.92,333.3,Passatge,Palma de Mallorca,Marseille,28,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
PA,Panamà,MSC FANTASIA,8.65,37.92,333.3,Passatge,Palma de Mallorca,Marseille,35,MEDITERRANEAN SHIPPING COM ESPAÑA SLU
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Palma de Mallorca,Palma de Mallorca,124,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Valencia,Palma de Mallorca,128,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Napoli,Palma de Mallorca,135,BALEARES CONSIGNATARIOS SL
BS,Bahames,VISION OF THE SEAS,7.9,32.2,279,Passatge,Valencia,Cannes,141,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Napoli,Palma de Mallorca,142,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Napoli,Palma de Mallorca,149,BALEARES CONSIGNATARIOS SL
BS,Bahames,VISION OF THE SEAS,7.9,32.2,279,Passatge,Athinios Thira Santorini           ,Cannes,153,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Napoli,Palma de Mallorca,156,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Napoli,Palma de Mallorca,163,BALEARES CONSIGNATARIOS SL
BS,Bahames,VISION OF THE SEAS,7.9,32.2,279,Passatge,Valencia,Cannes,169,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Napoli,Palma de Mallorca,170,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Napoli,Palma de Mallorca,205,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Napoli,Palma de Mallorca,212,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Napoli,Palma de Mallorca,219,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Napoli,Palma de Mallorca,233,BALEARES CONSIGNATARIOS SL
BS,Bahames,VISION OF THE SEAS,7.9,32.2,279,Passatge,Valencia,Nice,253,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Napoli,Palma de Mallorca,254,BALEARES CONSIGNATARIOS SL
BS,Bahames,WONDER OF THE SEAS,9.3,47,362,Passatge,Napoli,Palma de Mallorca,261,BALEARES CONSIGNATARIOS SL
BS,Bahames,VISION OF THE SEAS,7.9,32.2,279,Passatge,Marseille,Nice,300,BALEARES CONSIGNATARIOS SL
MT,Malta,CELEBRITY CONSTELLATION,8.32,32.2,294,Passatge,Valencia,Palma de Mallorca,123,BALEARES CONSIGNATARIOS SL
MT,Malta,CELEBRITY BEYOND,8.23,39,326.5,Passatge,Palma de Mallorca,Marseille,127,BALEARES CONSIGNATARIOS SL
MT,Malta,AZAMARA QUEST,5.95,25.46,181,Passatge,Palamos,Valencia,131,BALEARES CONSIGNATARIOS SL
MT,Malta,CELEBRITY BEYOND,8.23,39,326.5,Passatge,Marseille,Marseille,155,BALEARES CONSIGNATARIOS SL
MT,Malta,CELEBRITY EDGE,8.23,39,306,Passatge,Ajaccio,Palma de Mallorca,159,BALEARES CONSIGNATARIOS SL
MT,Malta,CELEBRITY BEYOND,8.23,39,326.5,Passatge,Malta (Valetta),Marseille,202,BALEARES CONSIGNATARIOS SL
MT,Malta,CELEBRITY EDGE,8.23,39,306,Passatge,Palma de Mallorca,Valencia,204,BALEARES CONSIGNATARIOS SL
MT,Malta,CELEBRITY BEYOND,8.23,39,326.5,Passatge,Napoli,Marseille,211,BALEARES CONSIGNATARIOS SL
MT,Malta,CELEBRITY EDGE,8.23,39,306,Passatge,Palma de Mallorca,Ibiza,218,BALEARES CONSIGNATARIOS SL
MT,Malta,CELEBRITY EDGE,8.23,39,306,Passatge,Ajaccio,Palma de Mallorca,257,BALEARES CONSIGNATARIOS SL
MT,Malta,CELEBRITY BEYOND,8.23,39,326.5,Passatge,Valencia,Malaga,285,BALEARES CONSIGNATARIOS SL
NO,Noruega,VIKING VENUS,6.65,28.8,228.33,Passatge,Valencia,Sete,4,A PEREZ Y CIA SL
MH,Illes Marshall,SIRENA,5.83,25.46,181,Passatge,Genoa,Gibraltar,4,TUI ESPAÑA TURISMO SL 
MT,Malta,AZAMARA QUEST,5.95,25.46,181,Passatge,Valencia,Valencia,162,BALEARES CONSIGNATARIOS SL
MT,Malta,CELEBRITY CONSTELLATION,8.32,32.2,294,Passatge,Toulon,Palma de Mallorca,211,BALEARES CONSIGNATARIOS SL
BM,Bermuda,QUEEN VICTORIA,7.9,32.25,294,Passatge,Cadiz,La Spezia,161,MARITIMA DEL MEDITERRANEO SA
BM,Bermuda,QUEEN ELIZABETH,7.9,32.25,294,Passatge,Valencia,Villefranche-sur-Mer,248,MARITIMA DEL MEDITERRANEO SA
BM,Bermuda,QUEEN ELIZABETH,7.9,32.25,294,Passatge,Valencia,Villefranche-sur-Mer,262,MARITIMA DEL MEDITERRANEO SA
BM,Bermuda,QUEEN ELIZABETH,7.9,32.25,294,Passatge,Palma de Mallorca,Heraklion (Iraklion),283,MARITIMA DEL MEDITERRANEO SA
BS,Bahames,ANTHEM OF THE SEAS,8.82,41.4,347,Passatge,Palma de Mallorca,Ibiza,233,BALEARES CONSIGNATARIOS SL
